review_id,review_order,final_reviewer_decision,reviewer_confidence,reviewer_reason,manual_damage_area_boxes_xywhn,confirm_remove_all_damage_area
tactile3-da-final-053,53,accept_existing_labels,high,missing surface patch and lower chip are clear damage,,
tactile3-da-final-054,54,accept_existing_labels,medium,main worn patch is clear and small marked spots are plausible,,
tactile3-da-final-055,55,accept_existing_labels,medium,white worn rib patches align with GT damage areas,,
tactile3-da-final-056,56,accept_existing_labels,high,dark chipped patches and missing block area are clear,,
tactile3-da-final-057,57,exclude_unclear,low,tiny marks could be specks or minor chips so damage is unclear,,
tactile3-da-final-058,58,accept_existing_labels,medium,worn rib abrasion areas align with GT boxes,,
tactile3-da-final-059,59,fix_tactile_damage_area_bbox,medium,manual_bbox_required main damaged joint is plausible but extra small boxes look false,,
tactile3-da-final-060,60,accept_existing_labels,high,localized worn and missing surface areas are clear,,
tactile3-da-final-061,61,accept_existing_labels,high,dark chips on dot tactile block match GT boxes,,
tactile3-da-final-062,62,accept_existing_labels,high,small black edge and surface chips match GT boxes,,
tactile3-da-final-063,63,accept_existing_labels,medium,large worn surface patches and rib damage are plausible,,
tactile3-da-final-064,64,remove_false_damage_area_label,medium,GT boxes mostly cover intact tactile block or normal joints,,yes
tactile3-da-final-065,65,remove_false_damage_area_label,medium,GT boxes cover subtle dirt or intact tile without clear damage,,yes
tactile3-da-final-066,66,accept_existing_labels,high,dark surface loss spots align with GT boxes,,
tactile3-da-final-067,67,accept_existing_labels,medium,small cracks and dark chips are plausible damage,,
tactile3-da-final-068,68,accept_existing_labels,high,white worn rib abrasion areas match GT boxes,,
tactile3-da-final-069,69,accept_existing_labels,high,edge spalls and joint chip are clear,,
tactile3-da-final-070,70,accept_existing_labels,medium,surface scrape and smaller worn spot are plausible,,
tactile3-da-final-071,71,accept_existing_labels,medium,dark worn chipped patches are plausible,,
tactile3-da-final-072,72,exclude_unclear,low,boxes overlap moss and joints so true damage is unclear,,
tactile3-da-final-073,73,exclude_unclear,low,edge seam marks are too subtle to confirm tactile block damage,,
tactile3-da-final-074,74,fix_tactile_damage_area_bbox,high,damage exists but GT boxes include too much curb and surrounding context manual_bbox_required,,
tactile3-da-final-075,75,accept_existing_labels,high,boxed chip and crater damage on tactile block are clear,,
tactile3-da-final-076,76,accept_existing_labels,high,large peel and small adjacent chip are clear tactile damage,,
tactile3-da-final-077,77,accept_existing_labels,medium,dark chipped patches on tactile block are plausible damage,,
tactile3-da-final-078,78,exclude_unclear,low,tiny dark edge and groove marks could be debris or seam staining,,
tactile3-da-final-079,79,exclude_unclear,low,small seam edge labels are not visually clear enough as damage,,
tactile3-da-final-080,80,exclude_unclear,low,overexposed distant crop makes marked damage hard to verify,,
tactile3-da-final-081,81,fix_tactile_damage_area_bbox,medium,surface damage is visible but main GT box is overly broad manual_bbox_required,,
tactile3-da-final-082,82,accept_existing_labels,high,small chip and edge damage labels are visually valid,,
tactile3-da-final-083,83,accept_existing_labels,medium,marked seam and edge chip areas are plausible tactile damage,,
tactile3-da-final-084,84,accept_existing_labels,high,gray exposed surface loss on tactile strip is clear,,
tactile3-da-final-085,85,remove_false_damage_area_label,medium,boxed seam mark looks more like joint dirt than broken tactile surface,,yes
tactile3-da-final-086,86,accept_existing_labels,high,dark irregular surface loss on tactile block is clear,,
tactile3-da-final-087,87,accept_existing_labels,high,small black chip on raised tactile strip is clear,,
tactile3-da-final-088,88,accept_existing_labels,high,dark gray broken patch on tactile block is clear,,
tactile3-da-final-089,89,accept_existing_labels,medium,vertical worn scar inside marked strip is plausible surface damage,,
tactile3-da-final-090,90,accept_existing_labels,high,corner edge chip at tactile block boundary is clear,,
tactile3-da-final-091,91,add_missing_tactile_damage_area,medium,existing edge chip is valid and right side surface peel appears missing manual_bbox_required,,
tactile3-da-final-092,92,add_missing_tactile_damage_area,high,boxed peel is valid and smaller lower peel is also missing manual_bbox_required,,
tactile3-da-final-093,93,accept_existing_labels,high,large gray surface peel on dotted tactile block is clear,,
tactile3-da-final-094,94,accept_existing_labels,high,crack damage labels on tactile strips are valid,,
tactile3-da-final-095,95,accept_existing_labels,high,long seam edge deterioration on tactile block is clear,,
tactile3-da-final-096,96,accept_existing_labels,medium,marked low contrast worn patch is plausible tactile surface damage,,
tactile3-da-final-097,97,accept_existing_labels,high,red boxes follow block texture and seams without clear breakage,,
tactile3-da-final-098,98,accept_existing_labels,medium,dark specks and seams look more like dirt than tactile damage,,
tactile3-da-final-099,99,add_missing_tactile_damage_area,medium,small edge chips on tactile block appear to be true damage manual_bbox_required,,
tactile3-da-final-100,100,accept_existing_labels,medium,black marks look like stains or debris rather than broken surface,,
tactile3-da-final-101,101,add_missing_tactile_damage_area,medium,joint area shows exposed worn breakage and side damage manual_bbox_required,,
tactile3-da-final-102,102,accept_existing_labels,medium,red boxes mostly cover seams leaf and minor surface marks,,
tactile3-da-final-103,103,accept_existing_labels,medium,detected areas are mainly joints debris and normal edges,,
tactile3-da-final-104,104,add_missing_tactile_damage_area,high,gray exposed patches indicate clear surface loss manual_bbox_required,,
tactile3-da-final-105,105,accept_existing_labels,high,small edge marks and debris do not show definite tactile damage,,
tactile3-da-final-106,106,accept_existing_labels,medium,boxes align with seams and dark dirt marks without clear breakage,,
tactile3-da-final-107,107,add_missing_tactile_damage_area,high,visible gray surface loss on tactile blocks is clear damage manual_bbox_required,,
tactile3-da-final-108,108,accept_existing_labels,medium,aged block seams and dirt are detected but no distinct damage area,,
tactile3-da-final-109,109,add_missing_tactile_damage_area,high,left edge chip and joint breakage are visible manual_bbox_required,,
tactile3-da-final-110,110,add_missing_tactile_damage_area,medium,dark peeled spots and joint loss appear to be tactile damage manual_bbox_required,,
tactile3-da-final-111,111,accept_existing_labels,medium,red boxes mainly cover seams and minor wear with damage not definite,,
tactile3-da-final-112,112,accept_existing_labels,medium,faded surface and seams are visible but breakage is unclear,,
tactile3-da-final-113,113,add_missing_tactile_damage_area,medium,left edge chip appears to be missing tactile material manual_bbox_required,,
tactile3-da-final-114,114,add_missing_tactile_damage_area,high,hole like chips and exposed areas are clear tactile damage manual_bbox_required,,
tactile3-da-final-115,115,accept_existing_labels,high,red boxes cover normal seams and small debris only,,
tactile3-da-final-116,116,accept_existing_labels,medium,marks look like dirt or scuffs rather than broken tactile surface,,
tactile3-da-final-117,117,add_missing_tactile_damage_area,high,large cracks and broken tactile strip areas are obvious manual_bbox_required,,
tactile3-da-final-118,118,accept_existing_labels,medium,dark spots and seams look like stains not structural damage,,
tactile3-da-final-119,119,exclude_unclear,low,edge debris and possible chip are difficult to distinguish from true damage,,
tactile3-da-final-120,120,accept_existing_labels,medium,small specks and stains are visible but no clear tactile damage,,
